keywords,filter used,year,upload_date,today,time since upload,title,video_url,age,age1,sex,channel_name,channel_url,subscribers,channel_views,date_joined,cannabis_channel,vaping_channel,channel_type,state,country,description,agerestrict,videolength_mins,videolength_secs,length,video_category,views,likes,dislikes,comments,engagement,popularity,positivity,advertisement,product review,celebratory video,reflective,cautionary video,how to,sum,video cat
vaping cannabis,rating,2016,27/8/16,1/4/20,43,2016 Michigan Medical Cannabis Cup: Vape Pen Entries,https://www.youtube.com/watch?v=QLiNvKe7H5E,,age1(,,High Times,https://www.youtube.com/channel/UCFQ7vc-dWlSUZd6OqsAepMA,266000,32031293,3/11/08,1,0,organization,,USA,"Check out all the Vape Pens entered in the 2016 Michigan Medical Cannabis Cup, August 26-28th at the Auto City Speedway.",0,1,0,60,film & animation,3008,32,0,1,0.000332447,3008,0.010638298,0,0,0,0,0,0,0,0
vaping marijuana,rating,2016,20/4/16,1/4/20,47,5 Reasons Why You Need To Quit Smoking Weed & Start Vaping It,https://www.youtube.com/watch?v=N3t2h_3ZvIg,,0,1,What's Your Vape Temp,https://www.youtube.com/channel/UCBu6VQ_Qb-nYNs0MsAZQtEQ,8050,1330745,7/10/14,1,1,organization,,,"http://www.whatsyourvapetemp.com/ - What's up VapeTempers! Today, we're going to give you our top 5 reasons on why you should stop smoking weed, and start vaping it! Click now to learn why.

Here's our top 5 reasons why:

Reason #5 - More Efficient
Combustion of Marijuana only releases 25% of active ingredients like THC. Depending on the vaporizer and temperatures, vaporization can release 50% of the active ingredients allowing you to effectively use the same amount of marijuana for 2x longer than combustion. Saving you some hard earned green!

Reason #4 - Smell
Though vaporization isn't completely odorless, it smells far less than combustion. It also passes faster and doesn't soak into clothing and furniture as it does with combustion. 

Reason # 3 - Less Carcinogens
Vaporization produces 95% less carcinogens than combustion which makes for a smoother and better tasting experience. These carcinogens are toxic chemicals and are the leading causes of many lung diseases and cancer. 

Reason # 2 - Buzzcrafting 
That’s right! Buzz crafting. Or the art of crafting your buzz with a vaporizer that has precise controls. Since different active ingredients are release at different temperature ranges, you can craft the high you are looking for to either get the munches, watch tv, or fall asleep.

And Reason # 1 - ABV or Already Been Vaped Marijuana
If you don’t know what ABV is by now you have been vaping wrong. Since your vaped marijuana goes through a decarboxylation process, this essentially activates the THC. Even though vaping your herb is more efficient than smoking it, there is still some active ingredients like THC left inside. This mean you can eat your ABV with just adding a fat source and no heating necessary.


*** WE LIKE BEING SOCIAL ***",0,2,9,129,education,7443,88,3,23,0.003090152,7443,0.01182319,0,0,0,0,0,0,0,0
vaping marijuana,rating,2016,1/12/16,1/4/20,40,"Beginner Vaping - How To Vape Like A Pro, Using A Vape Pen or Vaporizer - Marijuana, Cannabis, THC",https://www.youtube.com/watch?v=qD5N4jQbNBQ,3,2,2,Port City Alternative,https://www.youtube.com/channel/UCl1Q_gP3Zj9RLBDg-NW61rw/about,670,250299,22/11/16,1,0,organization,Stockton,USA,"Have you ever wanted to learn how to vape? This quick video demonstrates all of the essentials that you'll need in order to vape like a pro.

People have smoked cannabis for centuries to enjoy its health benefits like reducing stress and stimulating appetite. But smoking releases harsh toxins that damage your lungs and can cause cancer. Plus it’s messy. And stinky.

Vaporizers heat cannabis to temperatures below burning point (451°F) which releases potent vapor with the same physical and mental benefits as smoking marijuana, but without the harsh smoke toxins1. And the herb odor is much less.

How Willy Nelson Vapes: “I’ve changed my habits a little bit. I’ve smoked so much and I got congestion from it, wheezing in the night and coughing. So I switched over to a vaporizer. You don’t get any smoke, and you don’t get any heat. And for a singer, or someone’s lungs, it’s much, much healthier. There’s pot in the vaporizer, but when you puff it in, you’re getting vapors, but not heat and not smoke. I think it’s even stronger, too.”

Four Benefits of Vaporizing
1. It's healthier than smoking — vapor contains virtually none of the harsh toxins found in smoke.
2. Works fast and is easy to control dose, unlike edible pot brownies or bread.
3. Efficient; generally you use 10–30% less herb than smoking pipes, joints or bongs.
4. Hardly any smell, only a faint herb odor that allows you to be more discreet.",1,1,56,116,howto & style,56156,259,14,29,0.000516419,56156,0.004612152,0,0,0,0,0,1,1,How to
vaping cannabis,rating,2016,8/8/16,1/4/20,43,Cannabis vape...,https://www.youtube.com/watch?v=dt3o6gLXNX8,3,2,1,towerdivine73,https://www.youtube.com/channel/UC1pRwvr5AkmKDhsIneloEJQ,325,108808,26/11/10,0,0,individual,,UK,The vaporisation of the cannabis sativa,0,0,40,40,music,112,3,0,0,0,112,0.026785714,0,0,1,0,0,0,1,Celebratory
vaping THC,rating,2016,12/7/16,1/4/20,44,CBD & THC Vape Cartridges | SPEAKEASY710,https://www.youtube.com/watch?v=EW0GraIg6qU,4,3,1,Speakeasy.710,https://www.youtube.com/channel/UC2hzc-lRB4vm3pfqGCjLtlg,132,41118,18/5/16,1,1,organization,,,Pure Golden Oil,0,0,51,51,science & technology,8262,21,1,2,0.000242072,8262,0.002541757,1,0,0,0,0,0,1,Advertisement
vaping THC,rating,2016,17/5/16,1/4/20,46,CBD e liquid CBD vape juice - pure CBD no THC because CBD is not the healing agent,https://www.youtube.com/watch?v=O0WUG7z141U,3,2,1,CBD Help Me,https://www.youtube.com/channel/UCrZEGfj2Z_5uHjSy8aMyv1Q,534,83923,27/7/15,1,0,individual,,USA,"CBD e liquid CBD vape juice info at http://www.CBDHelpMe.org and to read testimonials visit http://www.CBDHelpedMe.com

This high quality tasteless e liquid made from the finest CBD that is extracted from GMO free Organically grown imported Hemp allows the user to add some of their favorite e liquid to vape CBD in their favorite flavor. This Libre CBD VAPEit works in all tanks.",0,0,43,43,howto & style,2064,2,0,1,0.000484496,2064,0.000968992,1,0,0,0,0,0,1,Advertisement
vaping cannabis,rating,2016,22/8/16,1/4/20,43,DOE'S DANK REVIEW GREEN RANGER CANNABIS FIRE OG AND SLYMER OG VAPE,https://www.youtube.com/watch?v=cR3UezKuLmM,2,1,1,DOESDANKREVIEWS,https://www.youtube.com/channel/UCJNYZOI06Pmz_zW-oFXuWKw,306,54019,28/8/09,1,0,organization,,USA,TODAY ON DOE'S DANK REVIEW WE TRY THE GREEN RANGER CANNABIS FIRE OG FLOWER AND SLYMER OG VAPE PEN,0,12,25,745,entertainment,470,7,0,2,0.004255319,470,0.014893617,0,1,0,0,0,0,1,Product Review
vaping weed,relevance,2016,17/3/16,1/4/20,48,Getting My Tinder Date High Experiment! Weed Vape Prank!,https://www.youtube.com/watch?v=YA6VQ8gntpU,2,1,3,Viralized,https://www.youtube.com/channel/UCgBgT1xiFZLlJvs_iJmapeg,483000,126258910,1/12/09,0,0,individual,,USA,,0,6,13,373,entertainment,4148392,15659,1662,3511,0.000846352,4148392,0.003774716,0,0,1,0,0,0,1,Celebratory
vaping THC,relevance,2016,24/7/16,1/4/20,44,Getting started with THC VG juice,https://www.youtube.com/watch?v=5JnGZlkL2Kw,2,1,1,Fat Jono,https://www.youtube.com/channel/UCE0CrekIx1MNAWyx34JjJoA,294,129238,2/10/11,1,0,individual,,,"My experience with vaping weed juice over the past month has been awesome, just wanted to share what I have learned so far....",1,12,56,776,people & blogs,117173,503,83,142,0.001211883,117173,0.004292798,0,0,0,0,0,1,1,How to
vaping cannabis,rating,2016,26/5/16,1/4/20,46,Graham Farrar Talks Vaping and Abolishing the Stigma Around Cannabis,https://www.youtube.com/watch?v=bY0Yh9WJnu0,3,2,1,Herb,https://www.youtube.com/channel/UCXhq0B9ZfTkrQc6pfoAZgjQ,104000,9328785,25/7/14,1,0,organization,,Canada,"Cannabis Entrepreneur Graham Farrar from Elite Garden talks about how he consumes cannabis, and what we can do to abolish the stigma around this herb.
Check out Elite Garden at elitegardenwholesale.com and follow @grahamfarrar on Twitter.",1,1,19,79,howto & style,466,5,0,1,0.002145923,466,0.010729614,0,0,0,1,0,0,1,Reflective
vaping THC,rating,2016,9/3/16,1/4/20,48,How to Clean a Vape Pen,https://www.youtube.com/watch?v=KJcjYTArjIw,3,2,1,EcigsUK,https://www.youtube.com/channel/UCKb6MDRAgNaZlY8Vt9Z2aRA,3330,1357526,5/9/15,0,1,organization,,UK,"This simple to follow video will show you how to clean a vape pen in easy and straight forward manner. Please share and like if you find it useful! For more similar tutorials, reviews and the very latest industry news, visit our website: http://ecigsuk.org.uk",0,14,31,871,howto & style,38811,216,22,19,0.000489552,38811,0.005565432,0,0,0,0,0,1,1,How to
vaping THC,relevance,2016,30/10/16,1/4/20,41,How To Make Cannabis Tincture/ e-Cig Juice (Quick Vegetable Glycerin Method): Cannabasics #29,https://www.youtube.com/watch?v=2z2W8dcSTKE,3,2,1,RuffHouse Studios,https://www.youtube.com/channel/UCK_Jl1TAsI2dvH_ewDJnDuA,580000,66383562,20/12/07,1,0,organization,,USA,"Learn How To Make Cannabis Tincture with Vegetable Glycerin in Cannabasics #29. 

This quick method uses heat and will produce a very potent water soluble marijuana tincture you can use alone as a sublingual drop under the tongue, dissolve into almost any drink, use to make edibles such as gummy candies and also as an e-cig juice.",1,10,34,634,howto & style,812943,10532,221,1441,0.001772572,812943,0.012955398,0,0,0,0,0,1,1,How to
vaping marijuana,relevance,2016,6/4/16,1/4/20,47,How to use a cannabis vape pen with Dr. D,https://www.youtube.com/watch?v=Sitq2um1_7s,2,1,1,"Donald Davidson, M.D.",https://www.youtube.com/channel/UCpkg3yQRJQMFadIZNWGLK1Q,1750,254909,17/12/14,1,0,individual,California,USA,"If you are in California you can be evaluated via telemedicine by Dr. D.'s team -- www.DrDCannabis.com

Open 7 days a week 8am-10pm

Don Davidson, M.D. shows you how to use a cannabis vaporizor pen with a cannabis oil cartridge.",0,2,20,140,film & animation,198245,777,106,55,0.000277434,198245,0.003919393,0,0,0,0,0,1,1,How to
vaping marijuana,relevance,2016,9/5/16,1/4/20,46,How to vape with wisdom teeth removed,https://www.youtube.com/watch?v=f2tmvcs7QcY,2,1,1,Questing Guide,https://www.youtube.com/channel/UCnHYPi1rD1LKsgNlEZFKRRw,1820,2058615,29/1/16,0,0,individual,,USA,,0,5,1,301,howto & style,39358,132,24,127,0.00322679,39358,0.003353829,0,0,0,1,0,0,1,Reflective
vaping marijuana,relevance,2016,9/5/16,1/4/20,46,How to vape with wisdom teeth removed,https://www.youtube.com/watch?v=f2tmvcs7QcY,2,1,1,Questing Guide,https://www.youtube.com/channel/UCnHYPi1rD1LKsgNlEZFKRRw,1820,2058615,29/1/16,0,0,individual,,USA,,0,5,1,301,howto & style,39358,132,24,127,0.00322679,39358,0.003353829,0,0,0,0,0,1,1,How to
vaping weed,rating,2016,14/1/16,1/4/20,50,Marijuana Vaping,https://www.youtube.com/watch?v=IbZyoDScwqs,3,2,1,KristiLeighTV,https://www.youtube.com/channel/UCUTk9CyBIz0BdJMtWYcqrcw,195,141397,14/12/06,0,0,individual,Ohio,,"As E-cigarette use continues to trend, gaining popularity in teenagers, pairing it with the use of Marijuana is also gaining traction. 
We give the the background and evolution of vaping in general and how use with Marijuana is picking up as acceptance of the drug grows.
Highlighted is an exclusive interview with someone who actually vapes Marijuana on a regular basis.",0,3,22,202,film & animation,140,1,0,0,0,140,0.007142857,0,0,0,1,0,0,1,Reflective
vaping marijuana,relevance,2016,9/4/16,1/4/20,47,Medical Marijuana Demo: Watch how it works using a vape pen,https://www.youtube.com/watch?v=chSGzbZgK5A,3,2,1,syracuse.com,https://www.youtube.com/channel/UChbYn187BlBxq5LfGqZSv_A,37200,47091022,14/10/14,0,0,organization,,USA,"Brian Wieder demonstrates how to use a vape pen, the device he uses to ingest cannabis.",0,2,27,147,sports,532028,1515,264,307,0.000577037,532028,0.002847594,0,0,0,0,0,1,1,How to
vaping weed,rating,2016,17/12/16,1/4/20,39,Micro Vape Pen herbal kit,https://www.youtube.com/watch?v=1rNDyt9v2-Y,4,3,1,NY Vape Shop,https://www.youtube.com/channel/UCknXGIeKdv9P7bhAtezbKpw,950,640353,7/6/16,1,1,organization,,USA,"https://nyvapeshop.com/micro-vape-pen...
GET A FREE GIFT WITH PROMO CODE FreeTube

The popular Micro vape pen style is now available for use with dry herbs. Portable vape that won't break the bank.",0,1,48,108,people & blogs,3657,9,0,8,0.002187585,3657,0.002461034,1,0,0,0,0,0,1,Advertisement
vaping marijuana,relevance,2016,21/8/16,1/4/20,43,Nate Diaz Vapes Marijuana (CBD) at UFC 202 Press Conference,https://www.youtube.com/watch?v=1u3rf92rAgw,3,2,1,MMAWeekly.com,https://www.youtube.com/channel/UC7tdFNggH_jwjJTDWqYelmA,482000,369131726,23/8/09,0,0,organization,,USA,"UFC 202 main eventer Nate Diaz hits the vape pen at his post-fight press conference. Diaz said he was vaping CBD oil, which is a cannabinoid or marijuana product.",0,1,45,105,sports,1152851,3611,219,884,0.000766795,1152851,0.003132235,0,0,1,0,0,0,1,Celebratory
vaping weed,rating,2016,17/2/16,1/4/20,49,Pax 2 Valentines Giveaway Unboxing - vape - vaporizer - weed - marijuana - cannibus - smoking,https://www.youtube.com/watch?v=viU22UR_WHg,2,1,2,Katie Cakez,https://www.youtube.com/channel/UC1GWRexvN-d_H6PbeihdWjw,13700,1374386,21/2/12,0,0,individual,,USA,Learn more about the Pax 2 here: https://www.paxvapor.com/pax-2/#para-...,0,4,54,294,howto & style,419,9,0,4,0.009546539,419,0.021479714,0,1,0,0,0,0,1,Product Review
vaping marijuana,rating,2016,21/4/16,1/4/20,47,Quadriplegics and Medical Marijuana - vape pens,https://www.youtube.com/watch?v=oKV-5Mja0LQ,3,2,1,Live To Roll,https://www.youtube.com/channel/UCfBa5LrfU_Ki6JbY4EmCsTw,7640,4229189,25/4/14,0,0,individual,California,USA,"Live To Roll - This is my 420 special video! I made a video last year of how I use a bong by myself and a lot of people mentioned using vape or wax pens. I have also been using pens for a long time so here are the 2 pens I am currently using and really like. The first is a Heavy Hitters vape pen that are sold with pre filled cartridges at most medical dispensaries.. at least here in CA. 
The second pen is a PuffCo and it hits awesome! It is harder to load for us quads but once its filled it is a great hitting pen.",0,3,36,216,people & blogs,2554,31,1,18,0.007047768,2554,0.012137823,0,1,0,0,0,0,1,Product Review
vaping marijuana,rating,2016,21/4/16,1/4/20,47,Quadriplegics and Medical Marijuana - vape pens,https://www.youtube.com/watch?v=oKV-5Mja0LQ,3,2,1,Live To Roll,https://www.youtube.com/channel/UCfBa5LrfU_Ki6JbY4EmCsTw,7640,4229189,25/4/14,0,0,individual,California,USA,"Live To Roll - This is my 420 special video! I made a video last year of how I use a bong by myself and a lot of people mentioned using vape or wax pens. I have also been using pens for a long time so here are the 2 pens I am currently using and really like. The first is a Heavy Hitters vape pen that are sold with pre filled cartridges at most medical dispensaries.. at least here in CA. 
The second pen is a PuffCo and it hits awesome! It is harder to load for us quads but once its filled it is a great hitting pen.",0,3,36,216,people & blogs,2554,31,1,18,0.007047768,2554,0.012137823,0,0,0,0,0,1,1,How to
vaping cannabis,relevance,2016,6/9/16,1/4/20,42,Stealthy Cannabis Consumption in Public | CannaVlog #14,https://www.youtube.com/watch?v=0mFpD0BcvQk,2,1,1,ISMOKE,https://www.youtube.com/channel/UC_24jKIAWs4f3nk21CGgVRg,31700,4534360,3/3/16,1,0,organization,,UK,"Vape Pens and Stealthy Cannabis Consumption. 
Legal CBD Vape Pens https://synergyextracts.co.uk/?ref=52",0,5,7,307,education,43896,400,23,155,0.003531073,43896,0.009112448,0,1,0,0,0,0,1,Product Review
vaping cannabis,relevance,2016,6/9/16,1/4/20,42,Stealthy Cannabis Consumption in Public | CannaVlog #14,https://www.youtube.com/watch?v=0mFpD0BcvQk,2,1,1,ISMOKE,https://www.youtube.com/channel/UC_24jKIAWs4f3nk21CGgVRg,31700,4534360,3/3/16,1,0,organization,,UK,"Vape Pens and Stealthy Cannabis Consumption. 
Legal CBD Vape Pens https://synergyextracts.co.uk/?ref=52",0,5,7,307,education,43896,400,23,155,0.003531073,43896,0.009112448,0,0,0,1,0,0,1,Reflective
vaping THC,rating,2016,11/3/16,1/4/20,48,Using a Cartridge Vape Pen and Choosing Your Voltage - featuring Chris with Liquid Gold,https://www.youtube.com/watch?v=X6LwrJqHDQQ,2,1,1,G Farma TV,https://www.youtube.com/channel/UCUrO2c4pFUqcev4obUoaSFg,,452265,29/8/13,1,1,organization,,USA,"Chris gives us a tutorial for the Liquid Gold Vape Pen explaining its functions such as:

Preheating (Warms oil at 1.1-1.8 volts prepping it for a better vape)

5 clicks to turn ON/OFF

Once ON, click the button 3 times to Select Different Voltages:
Green Light = 3.6volts
Red Light = 3.8volts
Blue Light = 4.0volts

Universal 510 tread compatible with Liquid Gold C02 oil Cartridges",0,3,59,239,people & blogs,133226,683,66,68,0.000510411,133226,0.005126627,0,1,0,0,0,0,1,Product Review
vaping THC,rating,2016,11/3/16,1/4/20,48,Using a Cartridge Vape Pen and Choosing Your Voltage - featuring Chris with Liquid Gold,https://www.youtube.com/watch?v=X6LwrJqHDQQ,2,1,1,G Farma TV,https://www.youtube.com/channel/UCUrO2c4pFUqcev4obUoaSFg,,452265,29/8/13,1,1,organization,,USA,"Chris gives us a tutorial for the Liquid Gold Vape Pen explaining its functions such as:

Preheating (Warms oil at 1.1-1.8 volts prepping it for a better vape)

5 clicks to turn ON/OFF

Once ON, click the button 3 times to Select Different Voltages:
Green Light = 3.6volts
Red Light = 3.8volts
Blue Light = 4.0volts

Universal 510 tread compatible with Liquid Gold C02 oil Cartridges",0,3,59,239,people & blogs,133226,683,66,68,0.000510411,133226,0.005126627,0,0,0,0,0,1,1,How to
vaping marijuana,rating,2016,8/9/16,1/4/20,42,"Vapen Clear is the cleanest medical marijuana ""Vape pen"" out.",https://www.youtube.com/watch?v=I-ptsm8zI0M,2,1,3,HWC TV,https://www.youtube.com/channel/UC0vCD0hQmQ2_-Pou_AmE_-Q,907,174727,10/12/15,1,1,organization,,USA,"Vapen clear's headquarters is located in Phoenix Arizona. Vapenclear.com provides high potency medical concentrates from best well known canabis strains. Vapen know as the ""vape pen"" offers stunning doses of Tetrahydrocannabinol known as ""THC"" or Cannabidiol ""CBD"" with the lowest carcinogens. Vapen clear vape pen is pen shaped as a stylus. Vapenclear offers strain-specific and flavored cartridges. For safety purposes, store your VAPEN cartridge separate from the VAPEN battery when not in use. Be Discrete & Consume Responsibly. Keep out of reach of Children! Vape pens are today's alternative to traditional medicating methods. Get more information on retail and wholesale purchases at www.vapenclear.com",0,0,24,24,people & blogs,3483,1,0,2,0.000574218,3483,0.000287109,1,0,0,0,0,0,1,Advertisement
